ID	Glosa	casos
A150 	TUBERCULOSIS PULMON, CONFIRM.POR HALLAZGO MICROSC. DE BACILO TBC EN ESPUTO, CON O SIN CULTIVO TUBERCULOSIS PULMÓN, CONFIRM.POR HALLAZGO MICROSC. DE BACILO TBC EN ESPUTO, CON O SIN CULTIVO	1671
A151 	TUBERCULOSIS DEL PULMON, CONFIRMADA UNICAMENTE POR CULTIVO TUBERCULOSIS DEL PULMÓN, CONFIRMADA ÚNICAMENTE POR CULTIVO	141
A152 	TUBERCULOSIS DEL PULMON, CONFIRMADA HISTOLOGICAMENTE TUBERCULOSIS DEL PULMÓN, CONFIRMADA HISTOLÓGICAMENTE	326
A153 	TUBERCULOSIS DEL PULMON, CONFIRMADA POR MEDIOS NO ESPECIFICADOS TUBERCULOSIS DEL PULMÓN, CONFIRMADA POR MEDIOS NO ESPECIFICADOS	215
A154 	TUBERCULOSIS DE GANGLIOS LINFATICOS INTRATORACICOS, CONFIRMADA BACTERIOLOG. E HISTOLOG. TUBERCULOSIS DE GANGLIOS LINFÁTICOS INTRATORACICOS, CONFIRMADA BACTERIOLOG. E HISTOLOG.	77
A155 	TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE TUBERCULOSIS DE LARINGE, TRÁQUEA Y BRONQUIOS, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	9
A156 	PLEURESIA TUBERCULOSA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE (TUBERCULOSIS) PLEURESÍA TUBERCULOSA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE (TUBERCULOSIS)	149
A157 	TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE TUBERCULOSIS RESPIRATORIA PRIMARIA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	109
A158 	OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLOGICA E HISTOLOGICAMENTE OTRAS TUBERCULOSIS RESPIRATORIAS, CONFIRMADAS BACTERIOLÓGICA E HISTOLÓGICAMENTE	32
A159 	TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, CONFIRMADA BACTERIOLÓGICA E HISTOLÓGICAMENTE	148
A160 	TUBERCULOSIS DEL PULMON, CON EXAMEN BACTERIOLOGICO E HISTOLOGICO NEGATIVOS TUBERCULOSIS DEL PULMÓN, CON EXAMEN BACTERIOLÓGICO E HISTOLÓGICO NEGATIVOS	60
A161 	TUBERCULOSIS DE PULMON, SIN EXAMEN BACTERIOLOGICO E HISTOLOGICO TUBERCULOSIS DE PULMÓN, SIN EXAMEN BACTERIOLÓGICO E HISTOLÓGICO	25
A162 	TUBERCULOSIS DE PULMON, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA TUBERCULOSIS DE PULMÓN, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	4887
A163 	TUBERCULOSIS GANGLIOS LINF. INTRATORACICOS, S/ MENCION DE CONFIRMAC BACTERIOLOG O HISTOLOG. TUBERCULOSIS GANGLIOS LINF. INTRATORACICOS, S/ MENCIÓN DE CONFIRMAC BACTERIOLOG O HISTOLOG.	34
A164 	TUBERCULOSIS DE LARINGE, TRAQUEA Y BRONQUIOS, S/MENCION DE CONFIRMAC. BACTERIOLOG. O HISTOLOG. TUBERCULOSIS DE LARINGE, TRÁQUEA Y BRONQUIOS, S/MENCIÓN DE CONFIRMAC. BACTERIOLOG. O HISTOLOG.	14
A165 	PLEURESIA TUBERCULOSA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA PLEURESÍA TUBERCULOSA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	498
A167 	TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCION DE CONFIRMACION BACTERIOLOGICA O HISTOLOGICA TUBERCULOSIS RESPIRATORIA PRIMARIA, SIN MENCIÓN DE CONFIRMACIÓN BACTERIOLÓGICA O HISTOLÓGICA	21
A168 	OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCION DE CONFIRMACION OTRAS TUBERCULOSIS RESPIRATORIAS, SIN MENCIÓN DE CONFIRMACIÓN	21
A169 	TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, S/MENCION DE CONFIRMAC. BACTERIOLOG. O HISTOLOGICA TUBERCULOSIS RESPIRATORIA NO ESPECIFICADA, S/MENCIÓN DE CONFIRMAC. BACTERIOLOG. O HISTOLÓGICA	923
B200 	ENFERMEDAD POR VIH, RESULTANTE EN INFECCION POR MICOBACTERIAS ENFERMEDAD POR VIH, RESULTANTE EN INFECCIÓN POR MICOBACTERIAS	1000
B201 	ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES BACTERIANAS	610
B202 	ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD POR CITOMEGALOVIRUS	271
B203 	ENFERMEDAD POR VIH, RESULTANTE EN OTRAS INFECCIONES VIRALES	494
B204 	ENFERMEDAD POR VIH, RESULTANTE EN CANDIDIASIS	202
B205 	ENFERMEDAD POR VIH, RESULTANTE EN OTRAS MICOSIS	250
B206 	ENFERMEDAD POR VIH, RESULTANTE EN NEUMONIA POR PNEUMOCYSTIS CARINII ENFERMEDAD POR VIH, RESULTANTE EN NEUMONÍA POR PNEUMOCYSTIS CARINII	1896
B207 	ENFERMEDAD POR VIH, RESULTANTE EN INFECCIONES MULTIPLES ENFERMEDAD POR VIH, RESULTANTE EN INFECCIONES MÚLTIPLES	410
B208 	ENFERMEDAD POR VIH, RESULTANTE EN OTRAS ENFERMEDADES INFECCIOSAS O PARASITARIAS	1409
B209 	ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDAD INFECCIOSA O PARASITARIA NO ESPECIFICADA	580
B210 	ENFERMEDAD POR VIH, RESULTANTE EN SARCOMA DE KAPOSI	497
B211 	ENFERMEDAD POR VIH, RESULTANTE EN LINFOMA DE BURKITT	321
B212 	ENFERMEDAD POR VIH, RESULTANTE EN OTROS TIPOS DE LINFOMA NO HODGKIN	498
B213 	ENF POR VIH, RESULT.OTROS TUMORES MALIGNOS. TEJ. LINFOIDE, HEMATOPOYETICO Y TEJ. RELACIONADOS ENF POR VIH, RESULT.OTROS TUMORES MALIGNOS. TEJ. LINFOIDE, HEMATOPOYÉTICO Y TEJ. RELACIONADOS	107
B217 	ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS MÚLTIPLES	18
B218 	ENFERMEDAD POR VIH, RESULTANTE EN OTROS TUMORES MALIGNOS	212
B219 	ENFERMEDAD POR VIH, RESULTANTE EN TUMORES MALIGNOS NO ESPECIFICADOS	50
B220 	ENFERMEDAD POR VIH, RESULTANTE EN ENCEFALOPATIA ENFERMEDAD POR VIH, RESULTANTE EN ENCEFALOPATÍA	205
B221 	ENFERMEDAD POR VIH, RESULTANTE EN NEUMONITIS LINFOIDE INTERSTICIAL	125
B222 	ENFERMEDAD POR VIH, RESULTANTE EN SINDROME CAQUECTICO ENFERMEDAD POR VIH, RESULTANTE EN SÍNDROME CAQUÉCTICO	129
B227 	ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MULTIPLES CLASIFICADAS EN OTRA PARTE ENFERMEDAD POR VIH, RESULTANTE EN ENFERMEDADES MÚLTIPLES CLASIFICADAS EN OTRA PARTE	338
B230 	SINDROME DE INFECCION AGUDA DEBIDA A VIH SÍNDROME DE INFECCIÓN AGUDA DEBIDA A VIH	138
B231 	ENFERMEDAD POR VIH, RESULTANTE EN LINFADENOPATIA GENERALIZADA (PERSISTENTE)	70
B232 	ENFERMEDAD POR VIH, RESULTANTE EN ANORMALIDADES INMUNOLOGICAS Y HEMATOLOGICAS, NCOP ENFERMEDAD POR VIH, RESULTANTE EN ANORMALIDADES INMUNOLÓGICAS Y HEMATOLÓGICAS, NCOP	94
B238 	ENFERMEDAD POR VIH, RESULTANTE EN OTRAS AFECCIONES ESPECIFICADAS	2355
B24X 	ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACION ENFERMEDAD POR VIRUS DE LA INMUNODEFICIENCIA HUMANA (VIH), SIN OTRA ESPECIFICACIÓN	4866
B250 	NEUMONITIS DEBIDA A VIRUS CITOMEGALICO	51
B251 	HEPATITIS DEBIDA A VIRUS CITOMEGALICO	41
B252 	PANCREATITIS DEBIDA A VIRUS CITOMEGALICO	7
B258 	OTRAS ENFERMEDADES DEBIDAS A VIRUS CITOMEGALICO	78
B259 	ENFERMEDAD POR VIRUS CITOMEGALICO, NO ESPECIFICADA	485
B440 	ASPERGILOSIS PULMONAR INVASIVA ASPERGILOSIS PULMÓNAR INVASIVA	50
B441 	OTRAS ASPERGILOSIS PULMONARES OTRAS ASPERGILOSIS PULMÓNARES	200
B447 	ASPERGILOSIS DISEMINADA	1
B448 	OTRAS FORMAS DE ASPERGILOSIS	19
B449 	ASPERGILOSIS, NO ESPECIFICADA	63
C110 	TUMOR MALIGNO DE LA PARED SUPERIOR DE LA NASOFARINGE	2
C111 	TUMOR MALIGNO DE LA PARED POSTERIOR DE LA NASOFARINGE	42
C112 	TUMOR MALIGNO DE LA PARED LATERAL DE LA NASOFARINGE	5
C113 	TUMOR MALIGNO DE LA PARED ANTERIOR DE LA NASOFARINGE	11
C118 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DE LA NASOFARINGE LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DE LA NASOFARINGE	30
C119 	TUMOR MALIGNO DE LA NASOFARINGE, PARTE NO ESPECIFICADA	298
C12X 	TUMOR MALIGNO DEL SENO PIRIFORME	63
C180 	TUMOR MALIGNO DEL CIEGO	844
C181 	TUMOR MALIGNO DEL APENDICE CECAL TUMOR MALIGNO DEL APÉNDICE CECAL	521
C182 	TUMOR MALIGNO DEL COLON ASCENDENTE	1633
C183 	TUMOR MALIGNO DEL ANGULO HEPATICO TUMOR MALIGNO DEL ANGULO HEPÁTICO	316
C184 	TUMOR MALIGNO DEL COLON TRANSVERSO	768
C185 	TUMOR MALIGNO DEL ANGULO ESPLENICO TUMOR MALIGNO DEL ANGULO ESPLÉNICO	200
C186 	TUMOR MALIGNO DEL COLON DESCENDENTE	714
C187 	TUMOR MALIGNO DEL COLON SIGMOIDE	5744
C188 	LESION (NEOPLASIA) DE SITIOS CONTIGUOS DEL COLON LESIÓN (NEOPLASIA) DE SITIOS CONTIGUOS DEL COLON	183
C189 	TUMOR MALIGNO DEL COLON, PARTE NO ESPECIFICADA	27377
C220 	CARCINOMA DE CELULAS HEPATICAS CARCINOMA DE CÉLULAS HEPÁTICAS	3878
C221 	CARCINOMA DE VIAS BILIARES INTRAHEPATICAS CARCINOMA DE VÍAS BILIARES INTRAHEPATICAS	1517
C222 	HEPATOBLASTOMA	694
C223 	ANGIOSARCOMA DEL HIGADO ANGIOSARCOMA DEL HÍGADO	11
C224 	OTROS SARCOMAS DEL HIGADO OTROS SARCOMAS DEL HÍGADO	41
C227 	OTROS CARCINOMAS ESPECIFICADOS DEL HIGADO OTROS CARCINOMAS ESPECIFICADOS DEL HÍGADO	75
C229 	TUMOR MALIGNO DEL HIGADO, NO ESPECIFICADO TUMOR MALIGNO DEL HÍGADO, NO ESPECIFICADO	2250
C250 	TUMOR MALIGNO DE LA CABEZA DEL PANCREAS TUMOR MALIGNO DE LA CABEZA DEL PÁNCREAS	2678
C251 	TUMOR MALIGNO DEL CUERPO DEL PANCREAS TUMOR MALIGNO DEL CUERPO DEL PÁNCREAS	359
