ID	Glosa	casos
0 		146388
4 	Afganistán	36
5 	América del Sur	2
8 	Albania	5
12 	Argelia	16
19 	América	1
20 	Andorra	1
24 	Angola	40
32 	Argentina	784
36 	Australia	43
40 	Austria	22
44 	Bahamas	2
50 	Bangladesh	2
56 	Bélgica	31
60 	Bermudas	1
68 	Bolivia (Estado Plurinacional de)	392
70 	Bosnia y Herzegovina	5
72 	Botswana	1
76 	Brasil	233
84 	Belice	1
100 	Bulgaria	2
112 	Belarús (Bielorrusia)	1
120 	Camerún	2
124 	Canadá	73
132 	Cabo Verde	9
148 	Chad	24
150 	Europa	7
152 	Chile	794108
156 	China	101
158 	Taiwán (Provincia de China)	3
162 	Isla de Navidad	1
170 	Colombia	855
174 	Comoras	8
188 	Costa Rica	6
191 	Croacia	7
192 	Cuba	86
196 	Chipre	2
203 	República Checa	1
204 	Benin	4
208 	Dinamarca	9
212 	Dominica	24
214 	República Dominicana	88
218 	Ecuador	232
232 	Eritrea	2
238 	Islas Malvinas	2
242 	Fiji	15
246 	Finlandia	4
250 	Francia	162
254 	Guyana Francesa	1
262 	Djibouti	1
275 	Palestina (Estado de)	2
276 	Alemania	262
292 	Gibraltar	1
300 	Grecia	9
316 	Guam	1
320 	Guatemala	4
324 	Guinea	4
332 	Haití	997
340 	Honduras	11
348 	Hungría	2
352 	Islandia	1
356 	India	15
360 	Indonesia	10
364 	Irán (República Islámica de)	1
368 	Iraq	4
372 	Irlanda	5
376 	Israel	29
380 	Italia	267
384 	Costa de Marfil	2
388 	Jamaica	2
392 	Japón	31
398 	Kazajstán	1
400 	Jordania	3
408 	Corea del Norte (República Popular Democrática de)	8
410 	Corea del Sur (República de)	32
414 	Kuwait	1
417 	Kirguistán	1
422 	Líbano	3
426 	Lesotho	4
442 	Luxemburgo	2
446 	Macao	109
458 	Malasia	1
480 	Mauricio	23
484 	México	68
504 	Marruecos	3
508 	Mozambique	2
512 	Omán	1
516 	Namibia	1
520 	Nauru	4
528 	Países Bajos	40
530 	Antillas Holandesas	2
554 	Nueva Zelandia	4
562 	Níger	4
566 	Nigeria	1
578 	Noruega	8
586 	Pakistán	4
591 	Panamá	3
598 	Papua Nueva Guinea	2
600 	Paraguay	35
604 	Perú	1703
608 	Filipinas	6
616 	Polonia	7
620 	Portugal	14
624 	Guinea Bissau	1
630 	Puerto Rico	2
638 	Reunión	8
642 	Rumania	7
643 	Rusia (Federación de)	15
646 	Rwanda	2
654 	Santa Helena, Ascensión y Tristán de Acuña	2
660 	Anguila	4
682 	Arabia Saudita	3
686 	Senegal	2
702 	Singapur	3
704 	Viet Nam	1
710 	Sudáfrica	11
716 	Zimbabwe	7
724 	España	441
732 	Sahara Occidental	1
736 	Sudán	2
748 	Swazilandia	2
752 	Suecia	27
756 	Suiza	33
760 	República Árabe Siria	3
780 	Trinidad y Tobago	1
784 	Emiratos Árabes Unidos	5
792 	Turquía	3
795 	Turkmenistán	1
800 	Uganda	1
804 	Ucrania	3
818 	Egipto	1
826 	Reino Unido de Gran Bretaña e Irlanda del Norte	75
840 	Estados Unidos de América Estados Unidos de América 	363
858 	Uruguay	176
862 	Venezuela (República Bolivariana de)	1606
887 	Yemen	1
890 	Yugoslavia	4
